Date,Message
2026-04-12T09:00:00.000-03:00,"CLOSED=1775995200000,id=Entry,entry_time=1775984400000,entry_price=0.008417,exit_price=0.008713,size=118920.204,profit=33.16327729000014,commission=2.037103094,exit_comment=🏁 Exit"
2026-04-12T10:00:00.000-03:00,"STATE=1775998800000,level=1,ep1=0.008312,total_inv=1000,close=0.008312"
2026-04-12T11:00:00.000-03:00,"ENTRY=1776002400000,id=Entry,price=0.008318,size=120307.988,comment=🟢 Entry"
2026-04-13T04:00:00.000-03:00,"STATE=1776063600000,level=0,ep1=na,total_inv=0,close=0.009482"
2026-04-13T04:00:00.000-03:00,"CLOSED=1776063600000,id=Entry,entry_time=1776002400000,entry_price=0.008318,exit_price=0.00912,size=120307.988,profit=94.38907568100007,commission=2.097930695,exit_comment=🏁 Exit"
2026-04-13T07:00:00.000-03:00,"STATE=1776074400000,level=1,ep1=0.010471,total_inv=1000,close=0.010471"
2026-04-13T08:00:00.000-03:00,"ENTRY=1776078000000,id=Entry,price=0.010472,size=95501.86200000001,comment=🟢 Entry"
2026-04-13T09:00:00.000-03:00,"CLOSED=1776081600000,id=Entry,entry_time=1776078000000,entry_price=0.010472,exit_price=0.012378,size=95501.86200000001,profit=179.84433142500015,commission=2.182217547,exit_comment=🏁 Exit"
2026-04-13T10:00:00.000-03:00,"ENTRY=1776085200000,id=Entry,price=0.011864,size=84388.185,comment=🟢 Entry"
2026-04-13T11:00:00.000-03:00,"CLOSED=1776088800000,id=Entry,entry_time=1776085200000,entry_price=0.011864,exit_price=0.012689,size=84388.185,profit=67.54826951899994,commission=2.071983106,exit_comment=🏁 Exit"
2026-04-13T12:00:00.000-03:00,"ENTRY=1776092400000,id=Entry,price=0.01362,size=73416.048,comment=🚀 Re-Entry"
2026-04-13T23:00:00.000-03:00,"STATE=1776132000000,level=0,ep1=na,total_inv=0,close=0.019137"
2026-04-13T23:00:00.000-03:00,"CLOSED=1776132000000,id=Entry,entry_time=1776092400000,entry_price=0.01362,exit_price=0.020558,size=73416.048,profit=506.8513273351999,commission=2.5092136888,exit_comment=🏁 Exit"
2026-04-15T05:00:00.000-03:00,"STATE=1776240000000,level=1,ep1=0.028999,total_inv=1000,close=0.028999"
2026-04-15T06:00:00.000-03:00,"ENTRY=1776243600000,id=Entry,price=0.02899,size=34483.947,comment=🚀 Re-Entry"
2026-04-16T11:00:00.000-03:00,"STATE=1776348000000,level=2,ep1=0.028999,total_inv=3200,close=0.011147"
2026-04-16T12:00:00.000-03:00,"ENTRY=1776351600000,id=DCA-1,price=0.011151,size=197362.519,comment=DCA-1"
2026-04-20T14:00:00.000-03:00,"STATE=1776704400000,level=3,ep1=0.028999,total_inv=6600,close=0.00558"
2026-04-20T15:00:00.000-03:00,"ENTRY=1776708000000,id=DCA-2,price=0.005581,size=609318.996,comment=DCA-2"
2026-05-18T16:00:00.000-03:00,"STATE=1779130800000,level=4,ep1=0.028999,total_inv=11200,close=0.005284"
2026-05-18T17:00:00.000-03:00,"ENTRY=1779134400000,id=DCA-3,price=0.005282,size=870552.611,comment=DCA-3"
2026-05-22T04:00:00.000-03:00,"STATE=1779433200000,level=5,ep1=0.028999,total_inv=16200,close=0.005221"
2026-05-24T03:00:00.000-03:00,"STATE=1779602400000,level=6,ep1=0.028999,total_inv=21200,close=0.005107"
2026-05-28T23:00:00.000-03:00,"STATE=1780020000000,level=7,ep1=0.028999,total_inv=26200,close=0.00481"
2026-05-30T09:00:00.000-03:00,"STATE=1780142400000,level=8,ep1=0.028999,total_inv=31200,close=0.005199"
2026-06-01T09:00:00.000-03:00,"STATE=1780315200000,level=9,ep1=0.028999,total_inv=36200,close=0.005141"
2026-06-03T10:00:00.000-03:00,"STATE=1780491600000,level=10,ep1=0.028999,total_inv=41200,close=0.005216"
2026-06-04T19:00:00.000-03:00,"STATE=1780610400000,level=11,ep1=0.028999,total_inv=46200,close=0.004316"
2026-06-06T12:00:00.000-03:00,"STATE=1780758000000,level=12,ep1=0.028999,total_inv=51200,close=0.004983"
2026-06-07T18:00:00.000-03:00,"STATE=1780866000000,level=1,ep1=0.007702,total_inv=1000,close=0.007702"
2026-06-07T18:00:00.000-03:00,"CLOSED=1780866000000,id=Entry,entry_time=1776243600000,entry_price=0.02899,exit_price=0.007619,size=34483.947,profit=-738.2188541526999,commission=1.2624228157,exit_comment=🏁 Exit"
2026-06-07T18:00:00.000-03:00,"CLOSED=1780866000000,id=DCA-1,entry_time=1776351600000,entry_price=0.011151,exit_price=0.007619,size=197362.519,profit=-700.7889115889999,commission=3.704494481,exit_comment=🏁 Exit"
2026-06-07T18:00:00.000-03:00,"CLOSED=1780866000000,id=DCA-2,entry_time=1776708000000,entry_price=0.005581,exit_price=0.007619,size=609318.996,profit=1233.7491031,commission=8.043010748,exit_comment=🏁 Exit"
